pertanyaan,jawaban,konteks,kategori
leres atanapi henteu serok tempat nyimpen bibinihan luhureun hawu,henteu,serok nyaeta alat paranti nyerok pasakeun nu beres diigoreng,parabot
leres atanapi henteu serok wawadahan paranti kadaharan keur ondangan ,henteu,serok nyaeta alat paranti nyerok pasakeun nu beres diigoreng,parabot
leres atanapi henteu serok alat paranti moe pare ,henteu,serok nyaeta alat paranti nyerok pasakeun nu beres diigoreng,parabot
leres atanapi henteu serok alat paranti ngakeul tina kai ,henteu,serok nyaeta alat paranti nyerok pasakeun nu beres diigoreng,parabot
leres atanapi henteu serok alat paranti ngeureutan daging ,henteu,serok nyaeta alat paranti nyerok pasakeun nu beres diigoreng,parabot
leres atanapi henteu serok alat paranti nyaangan rohangan ,henteu,serok nyaeta alat paranti nyerok pasakeun nu beres diigoreng,parabot
leres atanapi henteu serok alat paranti ngageleng jenggel keur nyieun opak ,henteu,serok nyaeta alat paranti nyerok pasakeun nu beres diigoreng,parabot
leres atanapi henteu serok alat paranti nyiuk beas tina batok kalapa,henteu,serok nyaeta alat paranti nyerok pasakeun nu beres diigoreng,parabot
leres atanapi henteu serok wawadahan nu digunakeun keur ngala buah ,henteu,serok nyaeta alat paranti nyerok pasakeun nu beres diigoreng,parabot
leres atanapi henteu serok alat paranti nyimpen beas ,henteu,serok nyaeta alat paranti nyerok pasakeun nu beres diigoreng,parabot
leres atanapi henteu nyiru pakakas paranti muterkeun mur,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru pakakas paranti ngala jukut atawa pare,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru pakakas paranti meulah sabangsaning tatangkalan,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru pakakas paranti ngaliangan awi,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru pakakas paranti ngasah ragaji ,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru pakakas paranti mentang jamparing,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru pakakas paranti ngala lauk,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru pakakas paranti ngawaluku,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru pakakas paranti ngala buah,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru pakakas paranti ngawaluku,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru pakakas parati ngasah ragaji,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru pakakas paranti ngait,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru pakakas paranti ngala beurit,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru pakakas nu bisa dijieun patik atawa rimbas,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru pakakas paranti maculan taneuh,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru pakakas paranti nakol goong,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru pakakas paranti nyapukeun buruan imah,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru pakakas paranti nugar,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru pakakas paranti maledogkeun batu,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru pakakas paranti manah,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru pakakas paranti ngaratakeun taneuh,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru pakakas paranti ngeureutan sayur,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru pakakas paranti ngumpulkeun jukut garing,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru pakakas paranti ngakut es kacang,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru pakakas nu bisa ngadek jeung nakol,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru alat paranti wawadahan,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru alat paranti motongan sayur ,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru alat paranti nyaring endog lamun enggeus digoreng ,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru alat paranti napikeun beas beunang nyosoh ,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru alat paranti wadah dahareun dina hajatan ,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru alat paranti ngala hu'ut lemes ,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru alat paranti nyangu,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru alat paranti ngageberan waktu ngakeul,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru alat paranti ngarendos bumbu,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru alat paranti nyiksik bawang jeung sajabana ,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru alat paranti wadah cai pikeun nginum ,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru alat paranti gogoreng ,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru alat paranti moekeun lauk asin ,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru alat paranti wadah timbel ,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru wadah nu gede paranti balanja ka pasar ,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru alat paranti nyieun dodol atawa wajit ,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
"leres atanapi henteu nyiru ngaran hawu leutik paranti ngaliwet, naheur cai ",henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru wadah cai badag paranti masak,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru tempat bubuahan nu dijeunna tina tembaga ,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru alat paranti niup seuneu dina hawu ,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru alat paranti tatakan ngarendos,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru alat paranti wawadahan leutik kaulinan barudak ,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru alat paranti ngawadahan runtah ,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru tempat paranti ngakeul ,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru tempat paranti kadaharan ,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru alat paranti ngangeun ,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru alat paranti nyiuk angeun ,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru alat paranti nyieun surabi ,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru tempat paranti kukumbah ,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru alat paranti nutupan sangu dina aseupan ,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru alat paranti nyiuk cai ,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru alat paranti ngaliwet ,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru alat paranti nutu ,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru wawadahan tina jaring ,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru tempat nyimpen bibinihan luhureun hawu,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru wawadahan paranti kadaharan keur ondangan ,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru alat paranti moe pare ,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru alat paranti ngakeul tina kai ,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru alat paranti ngeureutan daging ,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru alat paranti nyaangan rohangan ,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru alat paranti ngageleng jenggel keur nyieun opak ,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru alat paranti nyiuk beas tina batok kalapa,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru wawadahan nu digunakeun keur ngala buah ,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu nyiru alat paranti nyimpen beas ,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh,parabot
leres atanapi henteu besek pakakas paranti muterkeun mur,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek pakakas paranti ngala jukut atawa pare,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek pakakas paranti meulah sabangsaning tatangkalan,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek pakakas paranti ngaliangan awi,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek pakakas paranti ngasah ragaji ,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek pakakas paranti mentang jamparing,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek pakakas paranti ngala lauk,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek pakakas paranti ngawaluku,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek pakakas paranti ngala buah,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek pakakas paranti ngawaluku,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek pakakas parati ngasah ragaji,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek pakakas paranti ngait,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek pakakas paranti ngala beurit,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek pakakas nu bisa dijieun patik atawa rimbas,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek pakakas paranti maculan taneuh,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek pakakas paranti nakol goong,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek pakakas paranti nyapukeun buruan imah,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek pakakas paranti nugar,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek pakakas paranti maledogkeun batu,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek pakakas paranti manah,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek pakakas paranti ngaratakeun taneuh,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek pakakas paranti ngeureutan sayur,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek pakakas paranti ngumpulkeun jukut garing,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek pakakas paranti ngakut es kacang,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek pakakas nu bisa ngadek jeung nakol,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek alat paranti wawadahan,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek alat paranti motongan sayur ,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek alat paranti nyaring endog lamun enggeus digoreng ,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek alat paranti napikeun beas beunang nyosoh ,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek alat paranti wadah dahareun dina hajatan ,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek alat paranti ngala hu'ut lemes ,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek alat paranti nyangu,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek alat paranti ngageberan waktu ngakeul,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek alat paranti ngarendos bumbu,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek alat paranti nyiksik bawang jeung sajabana ,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek alat paranti wadah cai pikeun nginum ,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek alat paranti gogoreng ,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek alat paranti moekeun lauk asin ,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek alat paranti wadah timbel ,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek wadah nu gede paranti balanja ka pasar ,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek alat paranti nyieun dodol atawa wajit ,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
"leres atanapi henteu besek ngaran hawu leutik paranti ngaliwet, naheur cai ",henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek wadah cai badag paranti masak,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek tempat bubuahan nu dijeunna tina tembaga ,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek alat paranti niup seuneu dina hawu ,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek alat paranti tatakan ngarendos,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek alat paranti wawadahan leutik kaulinan barudak ,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek alat paranti ngawadahan runtah ,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek tempat paranti ngakeul ,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek tempat paranti kadaharan ,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek alat paranti ngangeun ,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek alat paranti nyiuk angeun ,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek alat paranti nyieun surabi ,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek tempat paranti kukumbah ,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek alat paranti nutupan sangu dina aseupan ,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
leres atanapi henteu besek alat paranti nyiuk cai ,henteu,besek nyaeta wadah dahareun tinu hajatan,parabot
